#disk	/backup_hdd_2	/dev/sdc1	d215edd1-6eca-468a-a92e-5aaab48c3ec4	ST2000DM008-2FR102	ZK206ATM	0x5000c500c8b35bf0	1967846088704	1865641959424	2026-09-09 22:36:10	2026-09-13 01:05:13
#cols	run	files	bytes	sub_lo	sub_hi	first_file	last_file	copied_from	copied_to	manifest_lines	n_fadc	n_sadc	n_prd	n_merged	n_png	n_other	layout
002452	1828	211958332198			SADC_002452.root.00004	SADC_002452.root.01471	2026-09-09 22:46:59	2026-09-09 23:54:35	0	0	1468	360	0	0	0	run-dir
002453	5777	1438526700845	00000	01443	FADC_002453.root.00000	SADC_002453.root.01443	2026-09-09 23:55:28	2026-09-10 07:34:02	0	1444	1444	1445	0	1444	0	run-dir
002454	1868	215130000237	00000	00402	FADC_002454.root.00000	SADC_002454.root.00002	2026-09-10 07:39:39	2026-09-10 08:48:25	1870	403	3	1	0	1461	0	run-dir
