# 스캔하지 않은(지금 안 꽂힌) 하드의 시리얼·모델. 출처를 적는다. 스캔 파일이 생기면 그것이 이긴다.
# uuid	serial	model	wwn	source
937a91bc-04f9-423f-ac3c-a90f8f617fab	ZK206K95	ST2000DM008-2FR102		sheet row 32-33 (udevadm 2026-09-05)
27fe8b47-7fbc-4821-9c29-65d9b4b94a9c	ZFL3GHHS	ST2000DM008-2FR102		sheet row 34-35 (udevadm 2026-09-05)
75a4957f-394a-46c3-b1a2-aae5ed1af116	ZK206APL	ST2000DM008-2FR102		CLAUDE.md 11.170 (udevadm 2026-09-09)
5c136765-505c-42cd-bc21-b6a3363b0c42	ZK2060CP	ST2000DM008-2FR102		CLAUDE.md 11.170 (udevadm 2026-09-09)
2879e725-cf7f-4db6-ac6f-8bda39952464	ZK206014	ST2000DM008-2FR102	0x5000c500c8b28f6e	udevadm 2026-09-11/12
e84db00d-907a-4b29-9295-3c0087a03641	Z4ZBXGAA	ST2000DM006-2DM164		udevadm 2026-09-12
