#run	pos_mm	source   (Gd-LS 선원 런. 2026-04-17/19 높이 스캔, 2026-06 타겟 중심 350 mm. 포획은 n-Gd)
3956	350	AmBe
3957	550	AmBe
3959	150	AmBe
3960	250	AmBe
3961	450	AmBe
4221	350	AmBe
4222	350	AmBe
4223	350	AmBe
4224	350	AmBe
3963	150	Cf252
3964	250	Cf252
3965	300	Cf252
3966	300	Cf252
3967	100	Cf252
3968	200	Cf252
3969	350	Cf252
3970	400	Cf252
3971	450	Cf252
3972	500	Cf252
3973	550	Cf252
3974	350	Cf252
4230	350	Cf252
4231	350	Cf252
4232	350	Cf252
4234	350	Cf252
